0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
ja,pa,n,",",",",yo,ko,ha,ma,",",",",bi,ze,n,",",",",ka,ma,ku,ro,",",",",hi,ro,shi,ma,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",i,zu,mo,",",",",na,goya,",",",",fu,ku,shi,ma,",",",",e,chi,go,",",",",ao,mo,ri,",",",",suo,",",",",ma,tsuya,ma,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",hi,ro,shi,ma,",",",",na,ra,",",",",ka,go,shi,ma,",",",",i,zu,mi,",",",",i,se,",",",",o,mi,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",kyo,to,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",toya,ma,",",",",bi,ze,n,",",",",sa,do,",",",",i,se,",",",",sa,tsu,ma,",",",",o,sa,ka,",",",",ao,mo,ri,",",",",na,ra,",",",",ko,chi,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",o,mi,",",",",ko,chi,",",",",na,ga,sa,ki,",",",",i,se,",",",",to,kyo,",",",",sa,do,",",",",hi,ro,shi,ma,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",hi,ro,shi,ma,",",",",o,mi,",",",",i,zu,mo,",",",",na,ha,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",na,ga,no,",",",",bi,ze,n,",",",",fu,ku,shi,ma,",",",",ka,ma,ku,ro,",",",",i,se,",",",",sa,tsu,ma,",",",",na,ha,",",",",ko,chi,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",na,ga,no,",",",",na,goya,",",",",fu,kuo,ka,text_end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,pa,n,",",",",na,ra,",",",",na,goya,",",",",sa,do,",",",",kyo,to,",",",",suo,",",",",na,ha,",",",",ko,zu,ke,",",",",na,ga,no,",",",",sa,ppo,ro,",",",",e,chi,ze,n,text_end,,,,,,,,,,,,,,,,,,,,,,,,,
