0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
66,27,3,1,1,169,43,21,6,1,1,67,221,3,1,1,18,6,51,16,1,1,104,16,62,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,13,156,34,1,1,7,428,1,1,135,51,62,6,1,1,11,33,64,1,1,452,34,19,1,1,473,1,1,6,368,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,104,16,62,6,1,1,7,8,1,1,18,64,62,6,1,1,13,156,93,1,1,13,36,1,1,20,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,208,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,401,6,1,1,67,221,3,1,1,12,102,1,1,13,36,1,1,12,418,6,1,1,20,12,18,1,1,452,34,19,1,1,7,8,1,1,43,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,20,93,1,1,43,33,1,1,7,28,12,118,1,1,13,36,1,1,47,208,1,1,12,102,1,1,104,16,62,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,104,16,62,6,1,1,20,93,1,1,13,156,34,1,1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,28,32,1,1,67,221,3,1,1,135,51,62,6,1,1,18,6,51,16,1,1,13,36,1,1,12,418,6,1,1,7,21,1,1,43,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,28,32,1,1,7,428,1,1,135,653,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,8,1,1,7,428,1,1,12,102,1,1,208,47,1,1,473,1,1,7,21,1,1,43,156,52,1,1,7,28,32,1,1,12,257,16,1,1,11,33,221,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,104,16,62,6,1,1,7,28,12,118,1,1,452,34,19,1,1,18,6,51,16,1,1,43,94,1,1,13,156,93,1,1,20,12,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,47,208,1,1,18,64,62,6,1,1,169,43,21,6,1,1,43,33,1,1,12,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,67,221,3,1,1,20,12,18,1,1,6,368,6,1,1,7,8,1,1,7,21,1,1,7,28,32,1,1,7,428,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,67,221,3,1,1,7,28,32,1,1,18,64,62,6,1,1,43,94,1,1,7,28,12,118,1,1,6,368,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,8,1,1,13,156,34,1,1,135,51,62,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,47,208,1,1,12,418,6,1,1,20,12,18,1,1,7,28,12,118,1,1,43,33,1,1,104,16,62,6,1,1,7,21,1,1,20,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,12,257,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,8,1,1,401,6,1,1,7,428,1,1,7,28,32,1,1,13,156,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,21,43,31,26,1,1,7,28,32,1,1,12,257,16,1,1,401,6,1,1,13,36,1,1,18,64,62,6,1,1,7,428,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,135,653,18,1,1,169,43,21,6,1,1,7,28,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,13,156,34,1,1,20,93,1,1,47,208,1,1,7,28,32,1,1,13,156,93,1,1,43,33,1,1,4,118,15,1,1,208,47,1,1,104,16,62,6,1,1,452,34,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,67,221,3,1,1,13,156,93,1,1,6,368,6,1,1,15,435,6,1,1,13,156,34,1,1,11,33,64,1,1,169,43,21,6,1,1,20,93,1,1,43,33,1,1,452,34,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,43,33,1,1,401,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,18,6,51,16,1,1,11,33,64,1,1,15,435,6,1,1,43,156,52,1,1,7,28,32,1,1,169,43,21,6,1,1,13,156,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,452,34,19,1,1,11,33,64,1,1,7,428,1,1,7,8,1,1,43,156,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,4,118,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,13,156,34,1,1,11,33,221,3,1,1,18,64,62,6,1,1,11,33,64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,15,435,6,1,1,452,34,19,1,1,4,118,15,1,1,20,12,18,1,1,20,93,1,1,67,221,3,1,1,12,257,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,15,435,6,1,1,401,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,4,118,15,1,1,208,47,1,1,21,43,31,26,1,1,7,28,12,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,12,257,16,1,1,11,33,221,3,1,1,7,428,1,1,473,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,20,12,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,12,102,1,1,6,368,6,1,1,47,208,1,1,401,6,1,1,15,435,6,1,1,7,28,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,104,16,62,6,1,1,43,94,1,1,6,368,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,43,156,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,47,208,1,1,452,34,19,1,1,7,28,32,1,1,135,51,62,6,1,1,12,102,1,1,11,33,64,1,1,401,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,13,156,34,1,1,18,6,51,16,1,1,20,12,18,1,1,20,93,1,1,104,16,62,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,104,16,62,6,1,1,135,51,62,6,1,1,13,156,93,1,1,7,428,1,1,4,118,15,1,1,6,368,6,1,1,62,34,32,36,118,1,1,18,6,51,16,1,1,401,6,1,1,208,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,11,33,64,1,1,452,34,19,1,1,11,33,221,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,12,102,1,1,12,418,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,62,34,32,36,118,1,1,7,8,1,1,13,156,93,1,1,11,33,64,1,1,12,418,6,1,1,473,1,1,13,36,1,1,7,28,32,1,1,7,28,12,118,1,1,208,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,12,102,1,1,20,12,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,6,368,6,1,1,12,418,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,7,8,1,1,43,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,27,3,1,1,43,94,1,1,7,8,1,1,7,28,12,118,1,1,18,6,51,16,1,1,11,33,221,3,1,1,7,21,1,1,135,653,18,1,1,12,257,16,1,1,135,51,62,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
