token_value,count,token_key
,181827,0
",",49514,1
text_end,4500,2
n,3218,3
a,2572,4
s,2557,5
ma,1826,6
na,1754,7
ra,1608,8
r,1402,9
m,1209,10
e,1165,11
sa,1139,12
i,1078,13
ca,1040,14
ta,1032,15
ro,1013,16
me,968,17
ka,956,18
ri,938,19
o,878,20
ha,866,21
la,853,22
ba,848,23
ng,803,24
li,798,25
te,772,26
pa,771,27
ga,740,28
pe,683,29
lo,662,30
da,655,31
no,611,32
chi,581,33
mo,539,34
ne,539,35
se,530,36
ni,529,37
ce,529,38
c,516,39
le,500,40
si,496,41
po,472,42
ko,453,43
rma,447,44
ve,430,45
re,429,46
to,427,47
bu,418,48
ge,417,49
t,412,50
ku,405,51
ke,400,52
ru,399,53
co,392,54
nd,386,55
wa,373,56
l,359,57
tla,348,58
de,345,59
rg,345,60
su,341,61
shi,339,62
so,331,63
go,326,64
di,317,65
ja,316,66
bi,310,67
bo,304,68
gree,290,69
nce,288,70
cu,283,71
fra,278,72
nghai,278,73
ti,276,74
ngla,276,75
mu,267,76
lu,266,77
k,264,78
ns,262,79
cha,260,80
va,252,81
pt,250,82
ndia,250,83
ny,250,84
tto,250,85
sia,250,86
rsia,250,87
quoi,250,88
ssia,250,89
bia,250,90
gy,250,91
zte,250,92
mi,247,93
be,243,94
lco,230,95
he,218,96
ste,215,97
nte,213,98
nne,210,99
u,205,100
tu,205,101
do,202,102
d,202,103
hi,198,104
sta,195,105
sse,191,106
nbu,189,107
sto,187,108
ch,185,109
z,183,110
h,180,111
du,178,112
kho,177,113
pu,174,114
rsk,173,115
che,172,116
vi,167,117
ki,160,118
rta,159,119
ya,155,120
ssa,155,121
nsk,153,122
ld,152,123
kha,150,124
ndi,147,125
fe,147,126
nge,145,127
ry,145,128
nda,143,129
nu,143,130
lle,141,131
ck,139,132
pha,136,133
vo,134,134
fu,127,135
xi,127,136
tha,124,137
ho,123,138
hu,123,139
xo,123,140
nta,122,141
gra,121,142
tzi,120,143
niu,118,144
tou,118,145
tra,118,146
st,117,147
ndo,117,148
pi,116,149
rs,114,150
th,113,151
b,113,152
nca,111,153
rwi,108,154
ci,104,155
zu,103,156
ffa,102,157
gua,100,158
hua,99,159
 sa,97,160
rga,97,161
sti,97,162
ngzhou,96,163
za,96,164
nja,96,165
gwa,94,166
rie,92,167
tta,92,168
yo,92,169
oua,91,170
mpa,91,171
nche,91,172
gou,91,173
ngha,90,174
rsa,90,175
lua,90,176
v,89,177
lai,89,178
cae,88,179
tai,87,180
rmi,87,181
 tha,86,182
gu,86,183
tcha,86,184
nd ri,85,185
zmi,85,186
bay,85,187
nya,84,188
ngu,83,189
bou,81,190
sra,81,191
lio,81,192
bri,80,193
rna,80,194
spa,79,195
nka,78,196
x,78,197
tza,77,198
ria,77,199
ayo,77,200
rra,77,201
my,77,202
chmo,76,203
rli,76,204
lla,76,205
lti,76,206
lli,76,207
kyo,76,208
wu,76,209
w,76,210
nto,75,211
sou,75,212
thai,75,213
vla,75,214
lsk,74,215
rt,74,216
dda,74,217
gri,74,218
sso,74,219
sbu,74,220
ze,74,221
lei,74,222
lya,74,223
ji,73,224
nna,73,225
kai,73,226
stra,73,227
 la,73,228
nia,72,229
lou,72,230
rd,72,231
stle,72,232
lley,72,233
vgo,72,234
bla,71,235
rk,71,236
sha,71,237
ntia,71,238
sy,71,239
rea,70,240
mphi,70,241
p,69,242
gau,69,243
