0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,e,w,a,s,",",b,u,r,h,a,n,p,u,r,",",j,a,b,a,l,p
,,a,",",b,u,r,h,a,n,p,u,r,",",g,w,a,l,i,o,r,",",m,o,r,e,n,a,",",r,e,w,a,",",b,h,o,p,a,l,",",s,h,i,v,p,u,r,i,",",b,h,o,p,a,l,",",k,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",r,e,w,a,",",s,i,n,g,r,a,u,l,i,",",s,i,n,g,r,a,u,l,i,",",m,o,r,e
,,,,,,,,,,,,,,,,,,,m,o,r,e,n,a,",",b,u,r,h,a,n,p,u,r,",",b,u,r,h,a,n,p,u,r,",",b,h,i,n,d,",",s,h,i,v,p,u,r,i
,,s,a,g,a,r,",",g,w,a,l,i,o,r,",",s,a,g,a,r,",",g,w,a,l,i,o,r,",",g,w,a,l,i,o,r,",",s,i,n,g,r,a,u,l,i,",",s,i,n,g,r,a,u,l,i,",",r,e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",u,j,j,a,i,n,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",u,j,j,a,i,n,",",j,a,b,a,l,p,u,r,",",s,a,t,n,a,",",r,a,t,l,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,u,r,i,",",r,a,t,l,a,m,",",s,a,g,a,r,",",m,o,r,e,n,a,",",k,h,a,n,d,w,a,",",b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",m,o,r,e,n,a,",",u,j,j,a,i,n,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,a,t,l,a,m,",",u,j,j,a,i,n,",",u,j
,,,,,,,,,,,,,,,n,i,",",b,u,r,h,a,n,p,u,r,",",g,u,n,a,",",r,a,t,l,a,m,",",b,h,o,p,a,l,",",r,e,w,a,",",g,u,n,a,",",g,u,n
,,,,,,,,,,,,,,,,,,,,,,k,a,t,n,i,",",s,h,i,v,p,u,r,i,",",i,n,d,o,r,e,",",g,w,a,l,i,o,r,",",b,h,o,p,a,l,",",s
,,,,,,,,,s,a,g,a,r,",",r,e,w,a,",",k,h,a,n,d,w,a,",",g,w,a,l,i,o,r,",",b,h,i,n,d,",",d,e,w,a,s,",",s,h,i,v,p,u,r,i,",",u,j,j
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,h,i,v,p,u,r,i,",",b,h,i,n,d,",",j,a,b,a,l,p,u,r,",",u,j,j,a,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,j,j,a,i,n,",",r,a,t,l,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a
,,,,,,,,,,,,,,,,s,a,t,n,a,",",d,e,w,a,s,",",s,a,g,a,r,",",u,j,j,a,i,n,",",b,h,i,n,d,",",g,u,n,a,",",i,n,d,o,r,e,",",s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h
,,,,,,,,,,,,,s,a,g,a,r,",",s,i,n,g,r,a,u,l,i,",",r,e,w,a,",",d,e,w,a,s,",",s,a,t,n,a,",",b,h,i,n,d,",",s,a,g,a,r,",",m,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,h,i,v,p,u,r,i,",",m,o,r,e,n
,,,,,,,,,,,,,,a,r,",",k,a,t,n,i,",",b,h,o,p,a,l,",",j,a,b,a,l,p,u,r,",",m,o,r,e,n,a,",",r,a,t,l,a,m,",",b,h,i,n,d,",",b
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h,i,n,d,",",b,h,o,p,a,l,",",m,o,r,e,n,a,",",j,a,b,a,l,p,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",k,h,a,n,d,w,a,",",b,h,o,p,a,l,",",s,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,j,j,a,i,n,",",g,u,n,a,",",k,h,a,n,d,w,a,",",m,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,n,d,o,r,e,",",r,a,t,l,a,m,",",b,u,r
,,,,,,,,,,,,j,a,b,a,l,p,u,r,",",m,o,r,e,n,a,",",s,h,i,v,p,u,r,i,",",d,e,w,a,s,",",k,a,t,n,i,",",k,h,a,n,d,w,a,",",b,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",j,a,b,a,l,p,u,r,",",b,u,r,h,a,n,p,u,r,",",b,u,r,h,a,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,i,",",m,o,r,e,n,a,",",s,a,g,a,r,",",k,a,t,n,i,",",s,i,n,g,r,a,u,l,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",k,a,t,n,i,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u,j,j,a,i,n,",",m,o,r,e,n,a,",",b,h,o,p,a,l,",",s,a,t,n,a,",",u,j
,,,,,,,,,,,,,,,,,,,,,p,u,r,",",g,u,n,a,",",j,a,b,a,l,p,u,r,",",u,j,j,a,i,n,",",s,a,g,a,r,",",g,u,n,a,",",s,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,n,d,o,r,e,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r
,,,,,,,d,e,w,a,s,",",b,h,o,p,a,l,",",d,e,w,a,s,",",d,e,w,a,s,",",u,j,j,a,i,n,",",k,h,a,n,d,w,a,",",m,o,r,e,n,a,",",u,j,j,a,i,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,a,t,l,a
,,,,,,,,,,,,,,,,,,,,r,e,w,a,",",r,e,w,a,",",r,a,t,l,a,m,",",s,a,t,n,a,",",g,u,n,a,",",k,a,t,n,i,",",s,h,i,v,p,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,u,n,a,",",s,a,g,a,r,",",k,h,a,n,d,w,a,","
,,,,,,,,,,,,,,,,,,,,,",",s,a,t,n,a,",",r,a,t,l,a,m,",",u,j,j,a,i,n,",",s,a,g,a,r,",",i,n,d,o,r,e,",",b,h,i,n,d
,,,,,,,,,,,,,u,j,j,a,i,n,",",j,a,b,a,l,p,u,r,",",m,o,r,e,n,a,",",d,e,w,a,s,",",j,a,b,a,l,p,u,r,",",k,a,t,n,i,",",k,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,g,a,r,",",b,u,r,h,a,n,p,u,r,",",k,a,t,n,i,",",g
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h,o,p,a,l,",",s,a,t,n,a,",",r,a,t,l,a,m,",",s,h,i,v,p,u
,,,,,g,a,r,",",r,a,t,l,a,m,",",s,i,n,g,r,a,u,l,i,",",j,a,b,a,l,p,u,r,",",g,u,n,a,",",i,n,d,o,r,e,",",d,e,w,a,s,",",d,e,w,a,s,",",u
,,,,,,,,,,,,,,,,,i,",",s,h,i,v,p,u,r,i,",",j,a,b,a,l,p,u,r,",",s,h,i,v,p,u,r,i,",",g,w,a,l,i,o,r,",",s,a,t,n,a,","
,,,,,,,,,u,r,",",k,a,t,n,i,",",k,h,a,n,d,w,a,",",r,e,w,a,",",b,h,i,n,d,",",s,i,n,g,r,a,u,l,i,",",s,a,t,n,a,",",k,h,a,n,d,w,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,h,i,v
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,i,n,g,r,a,u,l,i,",",j,a,b,a,l,p,u,r,",",g,u,n,a,",",r,a,t,l,a,m,","
,,,,,,,,,,,,h,a,n,p,u,r,",",b,u,r,h,a,n,p,u,r,",",r,e,w,a,",",s,i,n,g,r,a,u,l,i,",",i,n,d,o,r,e,",",r,e,w,a,",",i,n,d,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",s,a,t,n,a,",",d,e,w,a,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",u,j,j,a,i,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,b,h,i,n,d,",",b,h,i,n,d,",",r,a,t,l,a,m,",",s,i,n,g,r,a,u,l,i,",",s,a,t,n,a,",",g,w,a,l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,h,i,v,p
