token_value,count,token_key,share
a,63559,1,0.12748413443409473
",",52906,2,0.10611676735584599
n,44733,3,0.08972368642741956
i,35992,4,0.07219133350984026
u,27401,5,0.05495984467390345
h,26027,6,0.05220392968605836
o,25801,7,0.05175062780305036
g,23572,8,0.04727978754984315
e,22921,9,0.0459740374355148
r,22488,10,0.045105543119840184
s,20556,11,0.04123041374828507
l,15931,12,0.03195377123097536
t,14595,13,0.02927407514381303
k,13122,14,0.026319589862083905
m,11457,15,0.022979998555852407
d,10694,16,0.021449603260564342
y,10147,17,0.02035245224284144
b,9602,18,0.019259312746207107
p,8048,19,0.016142360860391045
c,8037,20,0.01612029749440393
z,6853,21,0.013745477009972642
j,5182,22,0.010393851140475446
v,4901,23,0.009830232427531872
x,3469,24,0.006957983328118356
w,3025,25,0.006067425646456623
f,2729,26,0.005473720525348801
 ,2352,27,0.004717548800154042
q,1767,28,0.003544178881748381
