city,Chinese,civ,Prefecture,"Founded
(PRC)"
Hong Kong,???????,autonomous,none,1997-07-01
Macau,???????,autonomous,none,1999-12-20
Beijing,???,municipal,none,1949-10-01
Chongqing,???,municipal,none,1997-03-14
Shanghai,???,municipal,none,1949-10-01
Tianjin,???,municipal,none,1967-01-02
Anqing,???,Anhui,direct administration,1979-11-04
Bengbu,???,Anhui,direct administration,1949-10-01
Bozhou,???,Anhui,direct administration,2000-05-21
Chaohu,???,Anhui,Hefei,2011-07-14
Chizhou,???,Anhui,direct administration,2000-06-25
Chuzhou,???,Anhui,direct administration,1992-12-20
Fuyang,???,Anhui,direct administration,1996-01-01
Guangde,???,Anhui,Xuancheng,2019-07-12
Hefei,???,Anhui,direct administration,1949-10-01
Huaibei,???,Anhui,direct administration,1960-04-16
Huainan,???,Anhui,direct administration,1951-01-18
Huangshan,???,Anhui,direct administration,1987-11-27
Jieshou,???,Anhui,Fuyang,1989-09-27
Lu'an,???,Anhui,direct administration,1999-09-02
Ma'anshan,????,Anhui,direct administration,1956-10-12
Mingguang,???,Anhui,Chuzhou,1994-05-31
Ningguo,???,Anhui,Xuancheng,1997-03-11
Qianshan,???,Anhui,Anqing,2018-07-02
Suzhou,???,Anhui,direct administration,1998-12-06
Tianchang,???,Anhui,Chuzhou,1993-09-18
Tongcheng,???,Anhui,Anqing,1996-08-20
Tongling,???,Anhui,direct administration,1971-12-11
Wuhu,???,Anhui,direct administration,1972-12-30
Wuwei,???,Anhui,Wuhu,2019-11-20
Xuancheng,???,Anhui,direct administration,2000-06-25
Fu'an,???,Fujian,Ningde,1989-11-13
Fuding,???,Fujian,Ningde,1995-10-13
Fuqing,???,Fujian,Fuzhou,1990-12-26
Fuzhou,???,Fujian,direct administration,1949-10-01
Jian'ou,???,Fujian,Nanping,1992-10-20
Jinjiang,???,Fujian,Quanzhou,1992-03-06
Longhai,???,Fujian,Zhangzhou,1993-05-12
Longyan,???,Fujian,direct administration,1996-11-20
Nan'an,???,Fujian,Quanzhou,1993-05-12
Nanping,???,Fujian,direct administration,1994-09-05
Ningde,???,Fujian,direct administration,1999-11-14
Putian,???,Fujian,direct administration,1983-09-09
Quanzhou,???,Fujian,direct administration,1985-05-14
Sanming,???,Fujian,direct administration,1983-04-28
Shaowu,???,Fujian,Nanping,1983-08-17
Shishi,???,Fujian,Quanzhou,1987-12-17
Wuyishan,????,Fujian,Nanping,1989-08-21
Xiamen,???,Fujian,direct administration,1949-10-01
Yong'an,???,Fujian,Sanming,1984-09-12
Zhangping,???,Fujian,Longyan,1990-08-15
Zhangzhou,???,Fujian,direct administration,1985-05-14
Baiyin,???,Gansu,direct administration,1985-05-14
Dingxi,???,Gansu,direct administration,2003-04-04
Dunhuang,???,Gansu,Jiuquan,1987-08-21
Hezuo,???,Gansu,Gannan,1996-05-28
Huating,???,Gansu,Pingliang,2018-07-02
Jiayuguan,????,Gansu,direct administration,1971-09-10
Jinchang,???,Gansu,direct administration,1981-02-09
Jiuquan,???,Gansu,direct administration,2002-06-18
Lanzhou,???,Gansu,direct administration,1949-10-01
Linxia,???,Gansu,Linxia,1983-08-31
Longnan,???,Gansu,direct administration,2004-01-11
Pingliang,???,Gansu,direct administration,2002-06-02
Qingyang,???,Gansu,direct administration,2002-06-22
Tianshui,???,Gansu,direct administration,1985-07-08
Wuwei,???,Gansu,direct administration,2001-05-09
Yumen,???,Gansu,Jiuquan,1961-11-15
Zhangye,???,Gansu,direct administration,2002-03-01
Chaozhou,???,Guangdong,direct administration,1991-12-07
Dongguan,???,Guangdong,direct administration,1988-01-07
Enping,???,Guangdong,Jiangmen,1994-02-28
Foshan,???,Guangdong,direct administration,1975-11-22
Gaozhou,???,Guangdong,Maoming,1993-06-08
Guangzhou,???,Guangdong,direct administration,1954-06-19
Heshan,???,Guangdong,Jiangmen,1993-11-08
Heyuan,???,Guangdong,direct administration,1988-01-07
Huazhou,???,Guangdong,Maoming,1994-07-04
Huizhou,???,Guangdong,direct administration,1988-01-07
Jiangmen,???,Guangdong,direct administration,1975-11-22
Jieyang,???,Guangdong,direct administration,1991-12-07
Kaiping,???,Guangdong,Jiangmen,1993-01-05
Lechang,???,Guangdong,Shaoguan,1994-04-28
Leizhou,???,Guangdong,Zhanjiang,1994-04-26
Lianjiang,???,Guangdong,Zhanjiang,1993-12-10
Lianzhou,???,Guangdong,Qingyuan,1994-04-22
Lufeng,???,Guangdong,Shanwei,1995-01-19
Luoding,???,Guangdong,Yunfu,1993-04-08
Maoming,???,Guangdong,direct administration,1975-11-22
Meizhou,???,Guangdong,direct administration,1988-01-07
Nanxiong,???,Guangdong,Shaoguan,1996-06-17
Puning,???,Guangdong,Jieyang,1993-04-06
Qingyuan,???,Guangdong,direct administration,1988-01-07
Shantou,???,Guangdong,direct administration,1975-11-22
Shanwei,???,Guangdong,direct administration,1988-01-07
Shaoguan,???,Guangdong,direct administration,1975-11-22
Shenzhen,???,Guangdong,direct administration,1979-03-05
Sihui,???,Guangdong,Zhaoqing,1993-11-25
Taishan,???,Guangdong,Jiangmen,1992-04-17
Wuchuan,???,Guangdong,Zhanjiang,1994-05-26
Xingning,???,Guangdong,Meizhou,1994-06-06
Xinyi,???,Guangdong,Maoming,1995-09-11
Yangchun,???,Guangdong,Yangjiang,1994-05-05
Yangjiang,???,Guangdong,direct administration,1988-01-07
Yingde,???,Guangdong,Qingyuan,1994-01-12
Yunfu,???,Guangdong,direct administration,1994-04-05
Zhanjiang,???,Guangdong,direct administration,1975-11-22
Zhaoqing,???,Guangdong,direct administration,1988-01-07
Zhongshan,???,Guangdong,direct administration,1988-01-07
Zhuhai,???,Guangdong,direct administration,1979-03-05
Baise,???,Guangxi,direct administration,2002-06-02
Beihai,???,Guangxi,direct administration,1983-10-08
Beiliu,???,Guangxi,Yulin,1994-04-18
Cenxi,???,Guangxi,Wuzhou,1995-09-11
Chongzuo,???,Guangxi,direct administration,2002-12-23
Dongxing,???,Guangxi,Fangchenggang,1996-04-29
Fangchenggang,????,Guangxi,direct administration,1993-05-23
Guigang,???,Guangxi,direct administration,1995-10-27
Guilin,???,Guangxi,direct administration,1961-11-25
Guiping,???,Guangxi,Guigang,1994-05-18
Hechi,???,Guangxi,direct administration,2002-06-18
Hengzhou,???,Guangxi,Nanning,2021-02-03
Heshan,???,Guangxi,Laibin,1981-06-29
Hezhou,???,Guangxi,direct administration,2002-06-18
Jingxi,???,Guangxi,Baise,2015-08-01
Laibin,???,Guangxi,direct administration,2002-09-29
Lipu,???,Guangxi,Guilin,2018-07-02
Liuzhou,???,Guangxi,direct administration,1961-11-25
Nanning,???,Guangxi,direct administration,1961-12-23
Pingguo,???,Guangxi,Baise,2019-11-20
Pingxiang,???,Guangxi,Chongzuo,1961-05-27
Qinzhou,???,Guangxi,direct administration,1994-06-28
Wuzhou,???,Guangxi,direct administration,1961-11-25
Yulin,???,Guangxi,direct administration,1997-04-22
Anshun,???,Guizhou,direct administration,2000-06-23
Bijie,???,Guizhou,direct administration,2011-10-22
Chishui,???,Guizhou,Zunyi,1990-09-30
Duyun,???,Guizhou,Qiannan,1966-03-09
Fuquan,???,Guizhou,Qiannan,1996-12-02
Guiyang,???,Guizhou,direct administration,1949-10-01
Kaili,???,Guizhou,Qiandongnan,1983-08-19
Liupanshui,????,Guizhou,direct administration,1978-12-18
Panzhou,???,Guizhou,Liupanshui,2017-04-09
Qianxi,???,Guizhou,Bijie,2021-01-20
Qingzhen,???,Guizhou,Guiyang,1992-11-06
Renhuai,???,Guizhou,Zunyi,1995-11-30
Tongren,???,Guizhou,direct administration,2011-10-22
Xingren,???,Guizhou,Qianxinan,2018-07-02
Xingyi,???,Guizhou,Qianxinan,1987-11-06
Zunyi,???,Guizhou,direct administration,1997-06-10
Danzhou,???,Hainan,direct administration,2015-02-19
Dongfang,???,Hainan,none,1997-03-12
Haikou,???,Hainan,direct administration,1986-05-31
Qionghai,???,Hainan,none,1992-11-06
Sansha,???,Hainan,direct administration,2012-06-21
Sanya,???,Hainan,direct administration,1987-11-20
Wanning,???,Hainan,none,1996-08-05
Wenchang,???,Hainan,none,1995-11-07
Wuzhishan,????,Hainan,none,1986-06-12
Anguo,???,Hebei,Baoding,1991-05-06
Baoding,???,Hebei,direct administration,1983-11-15
Bazhou,???,Hebei,Langfang,1990-01-04
Botou,???,Hebei,Cangzhou,1982-12-13
Cangzhou,???,Hebei,direct administration,1983-11-15
Chengde,???,Hebei,direct administration,1983-11-15
Dingzhou,???,Hebei,Baoding,1986-03-05
Gaobeidian,????,Hebei,Baoding,1993-04-09
Handan,???,Hebei,direct administration,1983-11-15
Hengshui,???,Hebei,direct administration,1996-05-31
Hejian,???,Hebei,Cangzhou,1990-10-18
Huanghua,???,Hebei,Cangzhou,1989-07-27
Jinzhou,???,Hebei,Shijiazhuang,1991-11-30
Langfang,???,Hebei,direct administration,1988-09-13
Luanzhou,???,Hebei,Tangshan,2018-07-02
Nangong,???,Hebei,Xingtai,1986-03-05
Pingquan,???,Hebei,Chengde,2017-04-09
Qian'an,???,Hebei,Tangshan,1996-10-10
Qinhuangdao,????,Hebei,direct administration,1983-03-03
Renqiu,???,Hebei,Cangzhou,1986-03-05
Sanhe,???,Hebei,Langfang,1993-03-03
Shahe,???,Hebei,Xingtai,1987-02-20
Shenzhou,???,Hebei,Hengshui,1994-07-04
Shijiazhuang,????,Hebei,direct administration,1978-03-11
Tangshan,???,Hebei,direct administration,1978-03-11
Xinji,???,Hebei,Shijiazhuang,1986-03-05
Wu'an,???,Hebei,Handan,1988-09-01
Xingtai,???,Hebei,direct administration,1983-11-15
Xinle,???,Hebei,Shijiazhuang,1992-10-08
Zhangjiakou,????,Hebei,direct administration,1983-11-15
Zhuozhou,???,Hebei,Baoding,1986-09-24
Zunhua,???,Hebei,Tangshan,1992-02-17
Anda,???,Heilongjiang,Suihua,1984-11-17
Bei'an,???,Heilongjiang,Heihe,1982-12-18
Daqing,???,Heilongjiang,direct administration,1965-12-28
Dongning,???,Heilongjiang,Mudanjiang,2015-12-15
Fujin,???,Heilongjiang,Jiamusi,1988-08-30
Fuyuan,???,Heilongjiang,Jiamusi,2016-01-13
Hailin,???,Heilongjiang,Mudanjiang,1992-07-28
Hailun,???,Heilongjiang,Suihua,1989-12-23
Harbin,????,Heilongjiang,direct administration,1954-06-19
Hegang,???,Heilongjiang,direct administration,1966-02-08
Heihe,???,Heilongjiang,direct administration,1993-02-08
Hulin,???,Heilongjiang,Jixi,1996-10-11
Jiamusi,????,Heilongjiang,direct administration,1983-10-08
Jixi,???,Heilongjiang,direct administration,1966-02-08
Mishan,???,Heilongjiang,Jixi,1988-11-17
Mohe,???,Heilongjiang,Daxing'anling,2018-02-22
Mudanjiang,????,Heilongjiang,direct administration,1983-10-08
Muling,???,Heilongjiang,Mudanjiang,1995-03-07
Nehe,???,Heilongjiang,Qiqihar,1992-09-02
Nenjiang,???,Heilongjiang,Heihe,2019-07-12
Ning'an,???,Heilongjiang,Mudanjiang,1993-02-12
Qiqihar,?????,Heilongjiang,direct administration,1964-01-15
Qitaihe,????,Heilongjiang,direct administration,1983-10-08
Shangzhi,???,Heilongjiang,Harbin,1988-09-14
Shuangyashan,????,Heilongjiang,direct administration,1966-02-08
Suifenhe,????,Heilongjiang,Mudanjiang,1975-08-15
Suihua,???,Heilongjiang,direct administration,1999-12-28
Tieli,???,Heilongjiang,Yichun,1988-09-13
Tongjiang,???,Heilongjiang,Jiamusi,1987-02-24
Wuchang,???,Heilongjiang,Harbin,1993-06-01
Wudalianchi,?????,Heilongjiang,Heihe,1983-10-08
Yichun,???,Heilongjiang,direct administration,1979-12-14
Zhaodong,???,Heilongjiang,Suihua,1986-09-08
Anyang,???,Henan,direct administration,1982-03-10
Changge,???,Henan,Xuchang,1993-12-14
Changyuan,???,Henan,Xinxiang,2019-07-12
Dengfeng,???,Henan,Zhengzhou,1994-05-30
Dengzhou,???,Henan,Nanyang,1988-11-17
Gongyi,???,Henan,Zhengzhou,1991-06-12
Hebi,???,Henan,direct administration,1974-01-19
Huixian,???,Henan,Xinxiang,1988-10-11
Jiaozuo,???,Henan,direct administration,1974-01-19
Jiyuan,???,Henan,none,1988-06-25
Kaifeng,???,Henan,direct administration,1961-12-25
Lingbao,???,Henan,Sanmenxia,1993-05-12
Linzhou,???,Henan,Anyang,1994-01-24
Luohe,???,Henan,direct administration,1986-01-18
Luoyang,???,Henan,direct administration,1964-04-30
Mengzhou,???,Henan,Jiaozuo,1996-04-29
Nanyang,???,Henan,direct administration,1994-07-01
Pingdingshan,????,Henan,direct administration,1969-03-15
Puyang,???,Henan,direct administration,1983-09-01
Qinyang,???,Henan,Jiaozuo,1989-09-27
Ruzhou,???,Henan,Pingdingshan,1988-06-25
Sanmenxia,????,Henan,direct administration,1986-01-18
Shangqiu,???,Henan,direct administration,1997-06-10
Weihui,???,Henan,Xinxiang,1988-10-08
Wugang,???,Henan,Pingdingshan,1990-09-04
Xiangcheng,???,Henan,Zhoukou,1993-12-16
Xingyang,???,Henan,Zhengzhou,1994-04-05
Xinmi,???,Henan,Zhengzhou,1994-04-05
Xinxiang,???,Henan,direct administration,1982-03-10
Xinyang,???,Henan,direct administration,1998-06-09
Xinzheng,???,Henan,Zhengzhou,1994-05-16
Xuchang,???,Henan,direct administration,1986-01-18
