city,Department,Region,Pop. 2013census,Rank,civ
Paris,Paris,Île-de-France,2229621,1,france
Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,855393,2,france
Lyon,Rhône,Auvergne-Rhône-Alpes,500715,3,france
Toulouse,Haute-Garonne,Occitanie,458298,4,france
Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,342295,5,france
Nantes,Loire-Atlantique,Pays de la Loire,292718,6,france
Strasbourg,Bas-Rhin,Grand Est,275718,7,france
Montpellier,Hérault,Occitanie,272084,8,france
Bordeaux,Gironde,Nouvelle-Aquitaine,243626,9,france
Lille,Nord,Hauts-de-France,231491,10,france
Rennes,Ille-et-Vilaine,Brittany,211373,11,france
Reims,Marne,Grand Est,182592,12,france
Le Havre,Seine-Maritime,Normandy,172074,13,france
Saint-Étienne,Loire,Auvergne-Rhône-Alpes,172023,14,france
Toulon,Var,Provence-Alpes-Côte d'Azur,163760,15,france
Grenoble,Isère,Auvergne-Rhône-Alpes,160215,16,france
Dijon,Côte-d'Or,Bourgogne-Franche-Comté,153003,17,france
Nîmes,Gard,Occitanie,150564,18,france
Angers,Maine-et-Loire,Pays de la Loire,150125,19,france
Villeurbanne,Rhône,Auvergne-Rhône-Alpes,147192,20,france
Le Mans,Sarthe,Pays de la Loire,144244,21,france
Saint-Denis,Réunion,Réunion,142442,22,france
Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,141545,23,france
Clermont-Ferrand,Puy-de-Dôme,Auvergne-Rhône-Alpes,141463,24,france
Brest,Finistère,Brittany,139386,25,france
Limoges,Haute-Vienne,Nouvelle-Aquitaine,135098,26,france
Tours,Indre-et-Loire,Centre-Val de Loire,134803,27,france
Amiens,Somme,Hauts-de-France,132699,28,france
Perpignan,Pyrénées-Orientales,Occitanie,120959,29,france
Metz,Moselle,Grand Est,118634,30,france
Besançon,Doubs,Bourgogne-Franche-Comté,116952,31,france
Boulogne-Billancourt,Hauts-de-Seine,Île-de-France,116794,32,france
Orléans,Loiret,Centre-Val de Loire,114375,33,france
Mulhouse,Haut-Rhin,Grand Est,112063,34,france
Rouen,Seine-Maritime,Normandy,110755,35,france
Saint-Denis,Seine-Saint-Denis,Île-de-France,109343,36,france
Caen,Calvados,Normandy,107229,37,france
Argenteuil,Val-d'Oise,Île-de-France,106817,38,france
Saint-Paul,Réunion,Réunion,104332,39,france
Montreuil,Seine-Saint-Denis,Île-de-France,104139,40,france
Nancy,Meurthe-et-Moselle,Grand Est,104072,41,france
Roubaix,Nord,Hauts-de-France,95866,42,france
Tourcoing,Nord,Hauts-de-France,93974,43,france
Nanterre,Hauts-de-Seine,Île-de-France,92227,44,france
Avignon,Vaucluse,Provence-Alpes-Côte d'Azur,90305,45,france
Vitry-sur-Seine,Val-de-Marne,Île-de-France,90075,46,france
Créteil,Val-de-Marne,Île-de-France,89989,47,france
Dunkirk,Nord,Hauts-de-France,89882,48,france
Poitiers,Vienne,Nouvelle-Aquitaine,87427,49,france
Asnières-sur-Seine,Hauts-de-Seine,Île-de-France,86020,50,france
Courbevoie,Hauts-de-Seine,Île-de-France,85523,51,france
Versailles,Yvelines,Île-de-France,85272,52,france
Colombes,Hauts-de-Seine,Île-de-France,84577,53,france
Fort-de-France,Martinique,Martinique,84174,54,france
Aulnay-sous-Bois,Seine-Saint-Denis,Île-de-France,82634,55,france
Saint-Pierre,Réunion,Réunion,81415,56,france
Rueil-Malmaison,Hauts-de-Seine,Île-de-France,79762,57,france
Pau,Pyrénées-Atlantiques,Nouvelle-Aquitaine,77575,58,france
Aubervilliers,Seine-Saint-Denis,Île-de-France,77452,59,france
Le Tampon,Réunion,Réunion,76090,60,france
Champigny-sur-Marne,Val-de-Marne,Île-de-France,75961,61,france
Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,75456,62,france
Béziers,Hérault,Occitanie,74811,63,france
La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,74344,64,france
