"2015
rank",city,State,"2015
estimate","2011
census",Change,"2015
land area","2015
population
density",Location,civ
1, Berlin, Berlin,3520031,3292365,6.91%,"891.68 km2
344.28 sq mi","3,948/km2
10,230/sq mi",52°31'N 13°23'E,germany
2, Hamburg, Hamburg,1787408,1706696,4.73%,"755.3 km2
291.6 sq mi","2,366/km2
6,130/sq mi",53°33'N 10°0'E,germany
3, Munich (München), Bavaria,1450381,1348335,7.57%,"310.7 km2
120.0 sq mi","4,668/km2
12,090/sq mi",48°8'N 11°34'E,germany
4, Cologne (Köln), North Rhine-Westphalia,1060582,1005775,5.45%,"405.02 km2
156.38 sq mi","2,619/km2
6,780/sq mi",50°56'N 6°57'E,germany
5, Frankfurt am Main, Hesse,732688,667925,9.70%,"248.31 km2
95.87 sq mi","2,951/km2
7,640/sq mi",50°7'N 8°41'E,germany
6, Stuttgart, Baden-Württemberg,623738,585890,6.46%,"207.35 km2
80.06 sq mi","3,008/km2
7,790/sq mi",48°47'N 9°11'E,germany
7, Düsseldorf, North Rhine-Westphalia,612178,586291,4.42%,"217.41 km2
83.94 sq mi","2,816/km2
7,290/sq mi",51°14'N 6°47'E,germany
8, Dortmund, North Rhine-Westphalia,586181,571143,2.63%,"280.71 km2
108.38 sq mi","2,088/km2
5,410/sq mi",51°31'N 7°28'E,germany
9, Essen, North Rhine-Westphalia,582624,566201,2.90%,"210.34 km2
81.21 sq mi","2,770/km2
7,200/sq mi",51°27'N 7°1'E,germany
10, Leipzig, Saxony,560472,502979,11.43%,"297.8 km2
115.0 sq mi","1,882/km2
4,870/sq mi",51°20'N 12°23'E,germany
11, Bremen, Bremen,557464,542707,2.72%,"326.18 km2
125.94 sq mi","1,709/km2
4,430/sq mi",53°5'N 8°48'E,germany
12, Dresden, Saxony,543825,512354,6.14%,"328.48 km2
126.83 sq mi","1,656/km2
4,290/sq mi",51°2'N 13°44'E,germany
13, Hanover (Hannover), Lower Saxony,532163,506416,5.08%,"204.14 km2
78.82 sq mi","2,607/km2
6,750/sq mi",52°22'N 9°43'E,germany
14, Nuremberg (Nürnberg), Bavaria,509975,486314,4.87%,"186.38 km2
71.96 sq mi","2,736/km2
7,090/sq mi",49°27'N 11°5'E,germany
15, Duisburg, North Rhine-Westphalia,491231,488468,0.57%,"232.8 km2
89.9 sq mi","2,110/km2
5,500/sq mi",51°26'N 6°46'E,germany
16, Bochum, North Rhine-Westphalia,364742,362286,0.68%,"145.66 km2
56.24 sq mi","2,504/km2
6,490/sq mi",51°29'N 7°13'E,germany
17, Wuppertal, North Rhine-Westphalia,350046,342661,2.16%,"168.39 km2
65.02 sq mi","2,079/km2
5,380/sq mi",51°16'N 7°11'E,germany
18, Bielefeld, North Rhine-Westphalia,333090,326870,1.90%,"258.82 km2
99.93 sq mi","1,287/km2
3,330/sq mi",52°1'N 8°32'E,germany
19, Bonn, North Rhine-Westphalia,318809,305765,4.27%,"141.06 km2
54.46 sq mi","2,260/km2
5,900/sq mi",50°44'N 7°6'E,germany
20, Münster, North Rhine-Westphalia,310039,289576,7.07%,"303.28 km2
117.10 sq mi","1,022/km2
2,650/sq mi",51°58'N 7°38'E,germany
21, Karlsruhe, Baden-Württemberg,307755,289173,6.43%,"173.46 km2
66.97 sq mi","1,774/km2
4,590/sq mi",49°0'N 8°24'E,germany
22, Mannheim, Baden-Württemberg,305780,290117,5.40%,"144.96 km2
55.97 sq mi","2,109/km2
5,460/sq mi",49°29'N 8°28'E,germany
23, Augsburg, Bavaria,286374,267767,6.95%,"146.86 km2
56.70 sq mi","1,950/km2
5,100/sq mi",48°22'N 10°54'E,germany
24, Wiesbaden, Hesse,276218,269121,2.64%,"203.93 km2
78.74 sq mi","1,354/km2
3,510/sq mi",50°5'N 8°14'E,germany
25, Gelsenkirchen, North Rhine-Westphalia,260368,258766,0.62%,"104.94 km2
40.52 sq mi","2,481/km2
6,430/sq mi",51°31'N 7°6'E,germany
26, Mönchengladbach, North Rhine-Westphalia,259996,255188,1.88%,"170.47 km2
65.82 sq mi","1,525/km2
3,950/sq mi",51°12'N 6°26'E,germany
27, Braunschweig, Lower Saxony,251364,242537,3.64%,"192.18 km2
74.20 sq mi","1,308/km2
3,390/sq mi",52°16'N 10°31'E,germany
28, Chemnitz, Saxony,248645,240253,3.49%,"221.05 km2
85.35 sq mi","1,125/km2
2,910/sq mi",50°50'N 12°55'E,germany
29, Kiel, Schleswig-Holstein,246306,235782,4.46%,"118.65 km2
45.81 sq mi","2,076/km2
5,380/sq mi",54°20'N 10°8'E,germany
30, Aachen, North Rhine-Westphalia,245885,236420,4.00%,"160.85 km2
62.10 sq mi","1,529/km2
3,960/sq mi",50°47'N 6°5'E,germany
31, Halle (Saale), Saxony-Anhalt,236991,229153,3.42%,"135.02 km2
52.13 sq mi","1,755/km2
4,550/sq mi",51°29'N 11°58'E,germany
32, Magdeburg, Saxony-Anhalt,235723,228144,3.32%,"201 km2
78 sq mi","1,173/km2
3,040/sq mi",52°8'N 11°37'E,germany
33, Freiburg im Breisgau, Baden-Württemberg,226393,209628,8.00%,"153.06 km2
59.10 sq mi","1,479/km2
3,830/sq mi",47°59'N 7°51'E,germany
34, Krefeld, North Rhine-Westphalia,225144,222247,1.30%,"137.77 km2
53.19 sq mi","1,634/km2
4,230/sq mi",51°20'N 6°34'E,germany
35, Lübeck, Schleswig-Holstein,216253,210305,2.83%,"214.21 km2
82.71 sq mi","1,010/km2
2,600/sq mi",53°52'N 10°41'E,germany
36, Oberhausen, North Rhine-Westphalia,210934,210216,0.34%,"77.09 km2
29.76 sq mi","2,736/km2
7,090/sq mi",51°28'N 6°51'E,germany
37, Erfurt, Thuringia,210118,200868,4.61%,"269.91 km2
104.21 sq mi","778/km2
2,020/sq mi",50°59'N 11°2'E,germany
38, Mainz, Rhineland-Palatinate,209779,200344,4.71%,"97.74 km2
37.74 sq mi","2,146/km2
5,560/sq mi",50°0'N 8°16'E,germany
39, Rostock, Mecklenburg-Vorpommern,206011,200265,2.87%,"181.26 km2
69.98 sq mi","1,137/km2
2,940/sq mi",54°5'N 12°8'E,germany
40, Kassel, Hesse,197984,190765,3.78%,"106.78 km2
41.23 sq mi","1,854/km2
4,800/sq mi",51°19'N 9°30'E,germany
41, Hagen, North Rhine-Westphalia,189044,187944,0.59%,"160.45 km2
61.95 sq mi","1,178/km2
3,050/sq mi",51°22'N 7°29'E,germany
42, Hamm, North Rhine-Westphalia,179397,176037,1.91%,"226.43 km2
87.43 sq mi","792/km2
2,050/sq mi",51°41'N 7°49'E,germany
43, Saarbrücken, Saarland,178151,175853,1.31%,"167.09 km2
64.51 sq mi","1,066/km2
2,760/sq mi",49°14'N 7°0'E,germany
