Foundation,city,Modern-day,Modern country,civ
753 BC,Roma,Rome,Italy,roman
273 BC,Cosa,Orbetello,Italy[1],roman
268 BC,Ariminum,Rimini,Italy,roman
220 BC,Belum,Belluno,Italy,roman
218 BC,Placentia,Piacenza,Italy,roman
218 BC,Tarraco,Tarragona,Spain,roman
206 BC,Italica,Santiponce,Spain[2],roman
3rd c. BC,Modoetia,Monza,Italy,roman
197 BC,Salernum,Salerno,Italy,roman
189 BC,Bononia,Bologna,Italy,roman
188 BC,Forum Livii,Forlì,Italy,roman
187 BC,Regium Lepidi,Reggio Emilia,Italy,roman
181 BC,Aquileia,Aquileia,Italy,roman
169 BC,Colonia Patricia Corduba,Córdoba,Spain,roman
168 BC,Ascrivium,Kotor,Montenegro,roman
138 BC,Valentia Edetanorum,Valencia,Spain,roman
138 BC,Scalabis,Santarém,Portugal,roman
136 BC,Villa Euracini,Póvoa de Varzim,Portugal,roman
123 BC,Palma,Palma de Mallorca,Spain,roman
118 BC,Colonia Narbo Martius,Narbonne,France,roman
2nd c. BC,Massa,Massa,Italy,roman
2nd c. BC,Pistoria,Pistoia,Italy,roman
95 BC,Confloenta,Duratón,Spain,roman
77 BC,Gerunda,Girona,Spain,roman
74 BC,Pompaelo,Pamplona,Spain,roman
73 BC,Naissus,Niš,Serbia,roman
62 BC,Brigantium,A Coruña,Spain,roman
59 BC,Florentia,Florence,Italy,roman
58 BC,Vesontio,Besançon,France,roman
52 BC,Lutetia Parisiorum,Paris,France,roman
50 BC,Iulia Aemona,Ljubljana,Slovenia,roman
50 BC,Atuatuca Tungrorum,Tongeren,Belgium[3],roman
49 BC,Iulia Romula Hispalis,Seville,Spain,roman
44 BC,Augusta Raurica,Augst,Switzerland,roman
44 BC,Noviodunum,Nyon,Switzerland,roman
43 BC,Lugdunum,Lyon,France,roman
35 BC,Siscia,Sisak,Croatia,roman
30 BC,Marsonia,Slavonski Brod,Croatia,roman
30 BC,Augusta Treverorum,Trier,Germany[4],roman
29–19 BC,Castra Legionis,León,Spain,roman
28 BC (before),Nemausus,Nîmes,France,roman
28 BC,Augusta Taurinorum,Turin,Italy,roman
25 BC,Augusta Praetoria Salassorum,Aosta,Italy,roman
25 BC,Emerita Augusta,Mérida,Spain,roman
25 BC,Norba Caesarina,Cáceres,Spain,roman
25 BC,Lucus Augusta,Lugo,Spain,roman
25–13 BC,Caesarea,Caesarea,Israel,roman
20 BC,Bracara Augusta,Braga,Portugal,roman
16 BC,Novaesium,Neuss,Germany,roman
15 BC,Castra Vetera (15 BC to 110 AD) - Colonia Ulpia Traiana (after 110 AD),Xanten,Germany,roman
15 BC,Pons Drusi,Bolzano,Italy,roman
15 BC,Ovilava,Wels,Austria,roman
15 BC,Iuvavum,Salzburg,Austria,roman
15 BC,Augusta Vindelicorum,Augsburg,Germany,roman
15 BC,Turicum,Zurich,Switzerland,roman
14 BC,Asturica Augusta,Astorga,Spain,roman
14 BC,Borbetomagus,Worms,Germany,roman
14 BC,Caesaraugusta,Zaragoza,Spain,roman
14 BC,Sirmium,Sremska Mitrovica,Serbia,roman
14 BC,Sorviodurum,Straubing,Germany,roman
13–12 BC,Mogontiacum,Mainz,Germany,roman
110 AD,Colonia Ulpia Traiana (after 110 AD) - Castra Ventra (15 BC to 110 AD),Xanten,Germany,roman
12 BC,Argentoratum,Strasbourg,France,roman
11 BC,Bonna,Bonn,Germany,roman
10 BC,Noviomagus,Speyer,Germany,roman
9 BC,Castellum apud Confluentes,Koblenz,Germany,roman
1st c. BC,Divodurum,Metz,France,roman
1st c. BC,Caesaromagus,Beauvais,France,roman
1st c. BC,Ambianum,Amiens,France,roman
1st c. BC,Faventia Paterna Barcino,Barcelona,Spain,roman
1st c. BC,Abila,Avila,Spain,roman
1st c. BC,Lousonna,Lausanne,Switzerland,roman
1st c. BC,Ulpia Noviomagus Batavorum,Nijmegen,Netherlands[5],roman
6 AD,Rigomagus,Remagen,Germany,roman
6 AD,Aquae Mattiacorum,Wiesbaden,Germany,roman
9 AD,Mursa,Osijek,Croatia,roman
15 AD,Vindonissa,Windisch,Switzerland,roman
16 AD,Aventicum,Avenches,Switzerland,roman
39 AD,Praetorium Agrippinae,Valkenburg,Netherlands,roman
40 AD,Lopodunum,Ladenburg,Germany,roman
41 AD,Lugdunum Batavorum,Katwijk,Netherlands,roman
42 AD,Aequum,?itluk,Croatia,roman
43 AD,Camulodunum,Colchester,UK[6],roman
43 AD,Londinium,London,UK,roman
43 AD,Albanianis,Alphen aan den Rijn,Netherlands,roman
43 AD,Lauri,Woerden,Netherlands,roman
43 AD,Durovernum Cantiacorum,Canterbury,UK,roman
43 AD,Regulbium,Reculver,UK,roman
43 AD,Rutupiae,Richborough,UK,roman
43 AD,Novae,Svishtov,Bulgaria,roman
45 AD,Colonia Claudia Savariensum,Szombathely,Hungary[7],roman
46 AD,Viminacium,Kostolac,Serbia,roman
47 AD,Traiectum,Utrecht,Netherlands,roman
47 AD,Matilo,Leiden,Netherlands,roman
47 AD,Forum Hadriani,Voorburg,Netherlands,roman
47 AD,Nigrum Pullum,Zwammerdam,Netherlands,roman
48 AD,Lindum Colonia,Lincoln,UK,roman
50 AD,Ratae Corieltauvorum,Leicester,UK,roman
50 AD,Durocobrivis,Dunstable,UK,roman
50 AD,Colonia Agrippina,Cologne,Germany,roman
50 AD,Durocornovium,Swindon,UK,roman
50 AD,Verulamium,St. Albans,UK,roman
