Rank,city,Russian,Federal subject,civ,Population,,Change
,,,,,2021 Census[1],2010 Census[2],
53,Belgorod,????????, Belgorod Oblast,Central,339978,356402,?4.61%
89,Stary Oskol,?????? ?????, Belgorod Oblast,Central,221676,221085,0.27%
192,Gubkin,??????, Belgorod Oblast,Central,85225,88560,?3.77%
49,Bryansk,??????, Bryansk Oblast,Central,379152,415721,?8.80%
251,Klintsy,??????, Bryansk Oblast,Central,63059,62510,0.88%
50,Ivanovo,???????, Ivanovo Oblast,Central,361644,408330,?11.43%
209,Kineshma,???????, Ivanovo Oblast,Central,77694,88164,?11.88%
292,Shuya,???, Ivanovo Oblast,Central,55225,58486,?5.58%
55,Kaluga,??????, Kaluga Oblast,Central,337058,324698,3.81%
132,Obninsk,???????, Kaluga Oblast,Central,125376,104739,19.70%
72,Kostroma,????????, Kostroma Oblast,Central,267481,268742,?0.47%
44,Kursk,?????, Kursk Oblast,Central,440052,415159,6.00%
173,Zheleznogorsk,????????????, Kursk Oblast,Central,97038,95049,2.09%
38,Lipetsk,??????, Lipetsk Oblast,Central,496403,508887,?2.45%
169,Yelets,????, Lipetsk Oblast,Central,99875,108404,?7.87%
1,Moscow,??????, Moscow (federal city)[3],Central,13010112,11503501,13.10%
35,Balashikha,????????, Moscow Oblast,Central,520962,215494,141.75%
60,Podolsk,????????, Moscow Oblast,Central,314934,187961,67.55%
75,Khimki,?????, Moscow Oblast,Central,257128,207425,23.96%
76,Mytishchi,??????, Moscow Oblast,Central,255429,173160,47.51%
83,Korolyov,???????, Moscow Oblast,Central,228095,183402,24.37%
87,Lyubertsy,???????, Moscow Oblast,Central,224195,172525,29.95%
95,Krasnogorsk,???????????, Moscow Oblast,Central,187634,116896,60.51%
101,Odintsovo,????????, Moscow Oblast,Central,180530,138930,29.94%
115,Domodedovo,??????????, Moscow Oblast,Central,152404,96145,58.51%
120,Elektrostal,????????????, Moscow Oblast,Central,146403,155196,?5.67%
124,Kolomna,???????, Moscow Oblast,Central,134850,144589,?6.74%
125,Shchyolkovo,???????, Moscow Oblast,Central,134211,110411,21.56%
126,Serpukhov,????????, Moscow Oblast,Central,133793,127041,5.31%
138,Dolgoprudny,????????????, Moscow Oblast,Central,120907,90956,32.93%
144,Ramenskoye,?????????, Moscow Oblast,Central,114537,96317,18.92%
147,Reutov,??????, Moscow Oblast,Central,113871,87314,30.42%
149,Zhukovsky,?????????, Moscow Oblast,Central,111222,104736,6.19%
151,Pushkino,???????, Moscow Oblast,Central,110868,102874,7.77%
158,Orekhovo-Zuyevo,???????-?????, Moscow Oblast,Central,105745,120670,?12.37%
160,Noginsk,???????, Moscow Oblast,Central,103891,100072,3.82%
164,Sergiyev Posad,??????? ?????, Moscow Oblast,Central,101756,111179,?8.48%
165,Vidnoye,??????, Moscow Oblast,Central,101490,56752,78.83%
175,Voskresensk,???????????, Moscow Oblast,Central,95495,91464,4.41%
185,Chekhov,?????, Moscow Oblast,Central,89025,60720,46.62%
186,Klin,????, Moscow Oblast,Central,88511,80585,9.84%
195,Ivanteyevka,??????????, Moscow Oblast,Central,82827,58626,41.28%
196,Lobnya,?????, Moscow Oblast,Central,82764,74252,11.46%
216,Dubna,?????, Moscow Oblast,Central,74183,70663,4.98%
221,Yegoryevsk,?????????, Moscow Oblast,Central,71686,70081,2.29%
223,Naro-Fominsk,????-???????, Moscow Oblast,Central,71121,64665,9.98%
237,Dmitrov,???????, Moscow Oblast,Central,65574,61305,6.96%
240,Lytkarino,?????????, Moscow Oblast,Central,65212,55237,18.06%
241,Pavlovsky Posad,?????????? ?????, Moscow Oblast,Central,65098,63711,2.18%
243,Stupino,???????, Moscow Oblast,Central,64412,66816,?3.60%
247,Kotelniki,??????????, Moscow Oblast,Central,63728,32338,97.07%
263,Fryazino,???????, Moscow Oblast,Central,60580,55369,9.41%
274,Dzerzhinsky,???????????, Moscow Oblast,Central,57918,47163,22.80%
65,Oryol,????, Oryol Oblast,Central,303169,317747,?4.59%
34,Ryazan,??????, Ryazan Oblast,Central,528599,524927,0.70%
59,Smolensk,????????, Smolensk Oblast,Central,316570,326861,?3.15%
303,Vyazma,??????, Smolensk Oblast,Central,51950,57101,?9.02%
74,Tambov,??????, Tambov Oblast,Central,261803,280161,?6.55%
182,Michurinsk,?????????, Tambov Oblast,Central,90451,98758,?8.41%
41,Tula,????, Tula Oblast,Central,473622,501169,?5.50%
140,Novomoskovsk,????????????, Tula Oblast,Central,119697,131386,?8.90%
246,Donskoy,???????, Tula Oblast,Central,63837,64552,?1.11%
261,Aleksin,???????, Tula Oblast,Central,60842,61732,?1.44%
294,Shchyokino,??????, Tula Oblast,Central,55109,58139,?5.21%
46,Tver,?????, Tver Oblast,Central,416219,403606,3.13%
288,Rzhev,????, Tver Oblast,Central,55757,61982,?10.04%
52,Vladimir,????????, Vladimir Oblast,Central,349951,345373,1.33%
127,Kovrov,??????, Vladimir Oblast,Central,132417,145214,?8.81%
154,Murom,?????, Vladimir Oblast,Central,107497,116075,?7.39%
279,Alexandrov,???????????, Vladimir Oblast,Central,57053,61551,?7.31%
305,Gus-Khrustalny,????-???????????, Vladimir Oblast,Central,51552,60784,?15.19%
14,Voronezh,???????, Voronezh Oblast,Central,1057681,889680,18.88%
260,Rossosh,???????, Voronezh Oblast,Central,60879,62865,?3.16%
262,Borisoglebsk,????????????, Voronezh Oblast,Central,60687,65585,?7.47%
299,Liski,?????, Voronezh Oblast,Central,54147,55864,?3.07%
27,Yaroslavl,?????????, Yaroslavl Oblast,Central,577279,591486,?2.40%
104,Rybinsk,???????, Yaroslavl Oblast,Central,177295,200771,?11.69%
80,Blagoveshchensk,????????????, Amur Oblast,Far East,241437,214390,12.62%
258,Belogorsk,?????????, Amur Oblast,Far East,61440,68249,?9.98%
228,Birobidzhan,??????????, Jewish Autonomous Oblast,Far East,70064,75413,?7.09%
108,Petropavlovsk-Kamchatsky,?????????????-??????????, Kamchatka Krai,Far East,164900,179780,?8.28%
23,Khabarovsk,?????????, Khabarovsk Krai,Far East,617441,577441,6.93%
81,Komsomolsk-on-Amur,???????????-??-?????, Khabarovsk Krai,Far East,238505,263906,?9.63%
181,Magadan,???????, Magadan Oblast,Far East,90757,95982,?5.44%
26,Vladivostok,???????????, Primorsky Krai,Far East,603519,592034,1.94%
102,Ussuriysk,?????????, Primorsky Krai,Far East,180393,158004,14.17%
122,Nakhodka,???????, Primorsky Krai,Far East,139931,159719,?12.39%
152,Artyom,?????, Primorsky Krai,Far East,109556,102603,6.78%
45,Ulan-Ude,????-???, Republic of Buryatia,Far East,437565,404426,8.19%
51,Yakutsk,??????, Sakha (Yakutia) Republic,Far East,355443,269601,31.84%
301,Neryungri,????????, Sakha (Yakutia) Republic,Far East,53409,61747,?13.50%
100,Yuzhno-Sakhalinsk,????-?????????, Sakhalin Oblast,Far East,181587,181728,?0.08%
56,Chita,????, Zabaykalsky Krai,Far East,334427,324444,3.08%
306,Krasnokamensk,?????????????, Zabaykalsky Krai,Far East,51137,55666,?8.14%
57,Grozny,???????, Chechen Republic,North Caucasus,328533,271573,20.97%
244,Gudermes,????????, Chechen Republic,North Caucasus,64376,45631,41.08%
249,Urus-Martan,????-??????, Chechen Republic,North Caucasus,63449,49070,29.30%
295,Shali,????, Chechen Republic,North Caucasus,55054,47708,15.40%
77,Nalchik,???????, Kabardino-Balkar Republic,North Caucasus,247054,240203,2.85%
266,Prokhladny,??????????, Kabardino-Balkar Republic,North Caucasus,59938,59601,0.57%
148,Cherkessk,????????, Karachay-Cherkess Republic,North Caucasus,113226,129069,?12.27%
22,Makhachkala,?????????, Republic of Dagestan,North Caucasus,623254,572076,8.95%
114,Khasavyurt,????????, Republic of Dagestan,North Caucasus,155144,131187,18.26%
134,Derbent,???????, Republic of Dagestan,North Caucasus,124953,119200,4.83%
137,Kaspiysk,????????, Republic of Dagestan,North Caucasus,121140,100129,20.98%
233,Buynaksk,????????, Republic of Dagestan,North Caucasus,68121,62623,8.78%
285,Izberbash,????????, Republic of Dagestan,North Caucasus,55996,55646,0.63%
136,Nazran,???????, Republic of Ingushetia,North Caucasus,122350,93335,31.09%
255,Sunzha,?????, Republic of Ingushetia,North Caucasus,62078,61598,0.78%
67,Vladikavkaz,???????????, Republic of North Ossetia-Alania,North Caucasus,295830,311693,?5.09%
31,Stavropol,??????????, Stavropol Krai,North Caucasus,547443,398539,37.36%
119,Pyatigorsk,?????????, Stavropol Krai,North Caucasus,146473,142511,2.78%
129,Kislovodsk,??????????, Stavropol Krai,North Caucasus,127521,128553,?0.80%
141,Yessentuki,?????????, Stavropol Krai,North Caucasus,119658,100996,18.48%
142,Nevinnomyssk,????????????, Stavropol Krai,North Caucasus,117562,118360,?0.67%
146,Mikhaylovsk,??????????, Stavropol Krai,North Caucasus,114133,70981,60.79%
224,Mineralnye Vody,??????????? ????, Stavropol Krai,North Caucasus,70485,76728,?8.14%
250,Georgiyevsk,??????????, Stavropol Krai,North Caucasus,63221,72153,?12.38%
271,Budyonnovsk,??????????, Stavropol Krai,North Caucasus,58103,64624,?10.09%
66,Arkhangelsk,???????????, Arkhangelsk Oblast,Northwest,301199,348783,?13.64%
113,Severodvinsk,????????????, Arkhangelsk Oblast,Northwest,157213,192353,?18.27%
283,Kotlas,??????, Arkhangelsk Oblast,Northwest,56093,60562,?7.38%
39,Kaliningrad,???????????, Kaliningrad Oblast,Northwest,490449,431902,13.56%
91,Syktyvkar,?????????, Komi Republic,Northwest,220580,235006,?6.14%
202,Ukhta,????, Komi Republic,Northwest,79899,99591,?19.77%
280,Vorkuta,???????, Komi Republic,Northwest,56985,70548,?19.23%
176,Gatchina,???????, Leningrad Oblast,Northwest,94377,92937,1.55%
184,Murino,??????, Leningrad Oblast,Northwest,89083,7949,1020.68%
205,Vsevolozhsk,??????????, Leningrad Oblast,Northwest,79038,59704,32.38%
220,Vyborg,??????, Leningrad Oblast,Northwest,72530,79962,?9.29%
232,Sertolovo,?????????, Leningrad Oblast,Northwest,68241,47457,43.80%
